"ENTRY_ID","EMPLOYEE_CODE","PROJECT_CODE","WORK_DATE","HOURS_WORKED","TASK_TYPE","WORK_DESCRIPTION","BILLABLE_FLAG"
1,"E001","P001",02-MAR-26,8,"DEV","Implemented employee module","Y"
2,"E001","P001",03-MAR-26,7.5,"DEV","Worked on timesheet validation logic","Y"
3,"E001","P003",04-MAR-26,4,"MEETING","Migration planning meeting","N"
4,"E001","P001",05-MAR-26,8,"DOC","Updated technical documentation","Y"
5,"E002","P001",02-MAR-26,6,"DEV","Built project setup scripts","Y"
6,"E002","P001",03-MAR-26,8,"DEV","Worked on REST integration","Y"
7,"E002","P003",06-MAR-26,5,"SUPPORT","Assisted migration support tasks","N"
8,"E003","P002",02-MAR-26,8,"TEST","Created automation test cases","Y"
9,"E003","P002",03-MAR-26,8,"TEST","Executed regression test suite","Y"
10,"E003","P002",04-MAR-26,6,"DOC","Prepared QA execution report","N"
11,"E001","P001",09-MAR-26,8,"DEV","Continued work on approval flow","Y"
12,"E001","P001",10-MAR-26,8,"DEV","Implemented status transitions","Y"
13,"E001","P003",11-MAR-26,2.5,"MEETING","Cross-team dependency discussion","N"
14,"E004","P003",02-MAR-26,4,"SUPPORT","Handled migration support tickets","N"
15,"E004","P004",03-MAR-26,3,"DOC","Reviewed archived reporting documentation","N"
